wof:id,sg:id
169539511,SG_6UTMipvjsNtsiI1mnOfU2K_40.947395_29.395098@1306270051
169551049,SG_7NekxT5o4wpDRioRYjkslC_41.012379_28.975925@1306270051
169527037,SG_45GAGCdrGZQbYhOcmanMWQ_41.012379_28.975925@1306270050
169549115,SG_1O9Kci1miCxJ1t2mXQcyBj_41.012379_28.975925@1306270051
169544221,SG_1nbd2QvIYvT4gt1lyablyz_39.916901_33.242699@1306270051
169554003,SG_6jkZyloHtpaKGr4KbJkn4N_41.289719_36.337841@1306270051
169527045,SG_4rDtzjc4utUKqzFV1JWn8w_41.062069_28.988760@1306270050
169539559,SG_2aXWGueIVf7gQVdthmLBdh_41.012379_28.975925@1306270051
169551057,SG_655D5Tz7ML17JUxI5NIwPG_41.074612_29.000130@1306270051
169554007,SG_2CCVFVyceLVmK2us2nzndr_40.194756_29.058004@1306270051
169544243,SG_2Xl9RLro4XbHlfypRgLzPm_37.783791_29.084408@1306270051
169555003,SG_3fm0vU3zDfr8kYH1ZAFsjV_37.181400_33.221901@1306270051
169554023,SG_4UWY5LwmB4WeqBYZT7hjpL_37.849079_27.843401@1306270051
169527059,SG_0RBtaPQMX1xjnjbGCIpfbV_38.388386_27.161169@1306270050
169541183,SG_36yPIS5jsZHnhMMVphud8H_40.969551_29.063375@1306270051
169544269,SG_63U808J2kAahVBJYQL98sN_36.799900_34.632542@1306270051
169554029,SG_2wEDdHQRHHC4rt1cFSjZrr_40.979198_27.514400@1306270051
169556007,SG_4Sj6bCfCQK22nI1Pg1Sjm0_37.925163_41.947128@1306270051
169555009,SG_30708VjpszAx9l4KYGVPg7_40.986401_29.097988@1306270051
169527065,SG_7m7SntnNRUCnBVzJ0i8Stt_41.021832_29.015442@1306270050
169554041,SG_4IoOfJAMpDK70aS84DVmJh_37.825768_27.850548@1306270051
169541229,SG_59VZOEdflQLkYXnH5yBvt3_39.906223_32.886501@1306270051
169544289,SG_1HkP2rj3GZmAOqBGAlp8C2_38.345863_38.316010@1306270051
169554059,SG_22GeQcjXU1ya8Qh8bErVKH_41.046745_28.977816@1306270051
169555019,SG_12LamelgeRM0sVG6wBKOoN_37.871536_32.499027@1306270051
169527075,SG_6Qqp3ptGr4mVLXL6zS1tKb_41.012379_28.975925@1306270050
169556023,SG_6kYQ8JZEqo9Him90ScXhDN_39.100349_27.677095@1306270051
169541263,SG_6RoQyzmtDhrRotHBdS6Ryd_36.803745_28.230604@1306270051
169554077,SG_6k2RVJm9xzmreG0NvgdeOC_39.977531_32.577412@1306270051
169555039,SG_7FTGHEAFUthOMlFx7PnLVD_38.722576_35.489136@1306270051
169544299,SG_68CmGjD8X089MRP36TbyjB_38.423111_27.134447@1306270051
169527093,SG_3UVsWZRWTnhGel3mjchGQN_38.309872_27.170511@1306270050
169554089,SG_4YbGeSLwRbZ1q2vAzJAobG_38.755798_30.541800@1306270051
169541273,SG_7imTNV7dAydEYxsoSDlqVg_41.027977_28.894260@1306270051
169558023,SG_47DaoiAJbhM5MR59fPB6lj_41.006042_29.175404@1306270051
169554109,SG_3tzy1ECZUCAneIEichRnmd_37.884430_32.569977@1306270051
169555057,SG_11rSgytEhYCXfHyos5qseK_38.330067_27.135784@1306270051
169527103,SG_1dauQPjANT9vH6pUhHBxs6_41.012379_28.975925@1306270050
169547043,SG_3XXAtdwEr1qV5Y59FiSRow_38.719635_35.489052@1306270051
169528007,SG_6ogxZYyMHg6XlmSpDqOhc5_40.188728_29.086800@1306270050
169541281,SG_3vWXhnh4AfF5e9n73FSUbu_41.080936_29.022390@1306270051
169554117,SG_0oxvsrEdjYboNB2Kc8c8gT_40.780293_30.400955@1306270051
169558067,SG_1RJD0r3OnygikeJ75CsCHD_39.972301_32.738224@1306270051
169555083,SG_5MkZNWhZDzQqPr4l9rcOvL_39.991634_32.815235@1306270051
169547065,SG_494gG7mphR54FopOuTvqbU_40.947395_29.395098@1306270051
169548119,SG_3TLPWtTECp2Z8UD67WDtsV_40.194756_29.058004@1306270051
169559051,SG_2RDM3jgB3hOZ1DEYVNTb8V_39.903786_41.262321@1306270051
169529025,SG_6Cg5rMIqT0Y6L08bpvd7k6_41.071186_28.982019@1306270050
169528103,SG_0r5NRkuFwLzY9FiN9BVnEH_41.031624_28.822308@1306270050
169530137,SG_2JVF3rXW1Wv0nJyJ0kKCkD_14.487687_121.022514@1306270050
