bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"27.138582,38.406242,27.138582,38.406242",uuuu,85632393,,842e781b8ef08833f026acde2c6cd798,,5fe6b2bfb1e3b9d75156c2d50f10bdc9,38.406242,27.138582,169568925,uuuu,TR,TR,1466313307,0,0,-1,Mega G?venlik,85904097,169/568/925/169568925.geojson,venue,85679201,simplegeo,,,TR
"32.821163,39.882557,32.821163,39.882557",uuuu,85632393,,4976e62c3bd49563decce933defa14f2,,c9c0b319d526171a86c40f6c72883852,39.882557,32.821163,169568303,uuuu,TR,TR,1466313278,0,0,101912789,Globalnet Global Internet Teknolojileri Ltd.,-1,169/568/303/169568303.geojson,venue,85679409,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,ffa3e0f579df6ab7d84c5840e59700f6,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568261,uuuu,TR,TR,1466313275,0,0,-1,Gtt G?venlik Hizmet. A.s.,85906483,169/568/261/169568261.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,d938516bb93719814b82623ef24094c4,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568321,uuuu,TR,TR,1466313279,0,0,-1,G?ventek Guvenlik Teknolojisi Ltd.,85906483,169/568/321/169568321.geojson,venue,85679237,simplegeo,,,TR
"32.856033,39.943874,32.856033,39.943874",uuuu,85632393,,2dd0732466ab0396750fb2ed37c98c5f,,68c3280b4a772c2c653ccc4d077be668,39.943874,32.856033,169568717,uuuu,TR,TR,1466313296,0,0,-1,Korun Yangin G?venlik Sistem. Tic. Taahh?t A.s.,85929573,169/568/717/169568717.geojson,venue,85679409,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,9a19767a5e126470ea16cce0d311775e,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568411,uuuu,TR,TR,1466313282,0,0,-1,Inter Bilgiasayar,85906483,169/568/411/169568411.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,0150e7b0b5583367a7339cd4c7298929,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568287,uuuu,TR,TR,1466313277,0,0,-1,Guvenlik Market San. Tic.,85906483,169/568/287/169568287.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,1731dceb02c58c11907f6d1e69bca2cf,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568223,uuuu,TR,TR,1466313274,0,0,-1,Gozgez Arpacik Guvenlik Hizmetleri Ltd.,85906483,169/568/223/169568223.geojson,venue,85679237,simplegeo,,,TR
"29.144073,40.987396,29.144073,40.987396",uuuu,85632393,,4060db6850f9ee75bccab637b6f4fd38,,e10519c2c5ca72bac3864b16fdbabf0c,40.987396,29.144073,169568691,uuuu,TR,TR,1466313294,0,0,-1,Kobra Grup,85930135,169/568/691/169568691.geojson,venue,85679237,simplegeo,,,TR
"29.026739,41.048363,29.026739,41.048363",uuuu,85632393,,bb0155022417fb52d8e91739252fbab6,,0d7f600566aa7e6360ceddcff73217cf,41.048363,29.026739,169568945,uuuu,TR,TR,1466313307,0,0,101912663,Meric Ltd.co.,85904149,169/568/945/169568945.geojson,venue,85679237,simplegeo,,,TR
